id,type,domain,enabled,date_added,date_modified,comment
1,0,analytics.twitter.com,1,1593954955,1612574173,""
2,0,cdn.segment.com,1,1606142060,1612574173,
3,2,(\.|^)bugsnag\.com$,1,1606142074,1612574174,
5,2,(\.|^)adj\.st$,1,1609337340,1612574174,"Spotify and twitter"
6,2,(\.|^)adjust\.com$,1,1609337391,1612574174,"Spotify and Twitter "
7,0,emclick.imodules.com,1,1610906782,1612574173,"Kellogg email clicks"
9,2,(\.|^)aws\.a2z\.com$,1,1611344185,1612574174,"needed for aws search"
10,2,(\.|^)gstatic\.com$,1,1611675848,1612574174,
12,2,(\.|^)rs6\.net$,1,1611698874,1612574174,
13,0,secure.indeed.com,1,1611702679,1612574173,
14,0,activity.windows.com,1,1611802251,1612574173,"required for Edge sync"
15,2,(\.|^)activity\.windows\.com$,1,1611803072,1612574174,"required for edge sync"
16,0,go.skimresources.com,1,1612289430,1612574173,
17,2,(\.|^)shareasale\.com$,1,1612289447,1612574174,
18,0,go.acloudguru.com,1,1612455162,1612574174,"Added from Query Log"
19,0,app.adjust.net.in,1,1613222091,1613222091,
